temporada,modelo,top_pct,dias,captura_ha_dia,captura_ha_total,captura_celdas,inc100,lift_ha
2026,unico,0.5,86,4.359301938844328,1.4652535839908765,2.1118498240125145,7.547169811320755,2.930507167981753
2026,unico,1.0,86,7.025722289713789,2.949999029505781,3.9499413375048884,12.264150943396226,2.949999029505781
2026,unico,2.0,86,12.50605598963145,5.906389022999867,7.626124364489637,19.81132075471698,2.9531945114999334
2026,unico,5.0,86,22.268942618123994,12.422315718689392,15.50645287446226,37.735849056603776,2.4844631437378784
2026,unico,10.0,86,33.95205704225398,25.133093000732835,28.197105983574502,59.43396226415094,2.5133093000732836
2026,unico,20.0,86,54.87487486491567,51.36511545878392,51.75987485334376,75.47169811320755,2.568255772939196
2026,r10,0.5,86,3.0390678438634984,1.2623195542984447,1.8576456785295268,9.433962264150944,2.5246391085968893
2026,r10,1.0,86,7.453755835908634,3.3627628219876975,4.341024638247947,18.867924528301888,3.3627628219876975
2026,r10,2.0,86,13.06118938329659,7.137385161256316,8.79937426671881,25.471698113207548,3.568692580628158
2026,r10,5.0,86,22.403272587241645,17.912803884025497,19.827923347673053,42.45283018867924,3.5825607768050993
2026,r10,10.0,86,35.98895506393141,37.0143947462129,37.2897927258506,62.264150943396224,3.70143947462129
2026,r10,20.0,86,59.38121494301588,58.83835250960511,57.84122017989832,79.24528301886792,2.9419176254802553
2026,pareja,0.5,86,1.2233970146903788,0.6365982292037677,0.9972624168947986,3.7735849056603774,1.2731964584075355
2026,pareja,1.0,86,3.126764862633897,1.0014430216228158,1.8576456785295268,6.60377358490566,1.0014430216228158
2026,pareja,2.0,86,6.087437701606066,2.1988295613412974,3.5197497066875245,13.20754716981132,1.0994147806706487
2026,pareja,5.0,86,16.2898307247858,9.480732187878086,11.048103245991395,34.905660377358494,1.8961464375756172
2026,pareja,10.0,86,30.593593306487968,23.68347920575557,24.8337895971842,58.490566037735846,2.368347920575557
2026,pareja,20.0,86,53.097037344397556,52.93259396465894,50.821274931560424,79.24528301886792,2.646629698232947
2026,donde,0.5,86,1.1675166743676861,0.19757919986274858,0.5866249511145875,1.8867924528301887,0.39515839972549716
2026,donde,1.0,86,1.9596977822928703,0.4197486832799241,1.2123582323034807,5.660377358490566,0.4197486832799241
2026,donde,2.0,86,3.8801742808431654,1.0891868919243541,2.5224872897927257,9.433962264150944,0.5445934459621771
2026,donde,5.0,86,9.174116310749756,2.551661415208504,5.240516229956981,22.641509433962263,0.5103322830417009
2026,donde,10.0,86,21.411973996934034,11.265783908152674,14.822057098161908,39.62264150943396,1.1265783908152673
2026,donde,20.0,86,40.09724465592194,33.55248692864963,36.253421978881505,75.47169811320755,1.6776243464324814
